ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,80.6989,49.1512,4.57559,1547511065033
1,80.6989,49.1512,4.57559,1547511066053
2,324.972,112.841,69.6981,1547511067086
3,214.282,145.123,74.9248,1547511068074
4,326.194,53.6276,6.81379,1547511069076
5,256.296,136.167,73.4746,1547511070073
6,256.296,136.167,73.4746,1547511071050
7,260.987,140.542,74.183,1547511072048
8,234.711,146.109,75.0843,1547511073047
9,225.823,131.504,72.7196,1547511074050
10,225.823,131.504,72.7196,1547511075048
11,181.904,128.351,72.2092,1547511076047
12,137.003,84.9881,42.9475,1547511077048
13,150.109,131.594,72.7343,1547511078048
14,177.513,116.277,70.2543,1547511079051
15,181.78,172.896,79.4212,1547511080053
16,189.953,224.756,87.8177,1547511081044
17,176.227,229.398,88.5691,1547511082046
18,171.671,213.062,85.9244,1547511083054
19,146.713,250.151,91.9292,1547511084052
20,152.397,226.164,88.0456,1547511085047
21,153.861,184.381,81.2808,1547511086045
22,175.984,201.116,83.9902,1547511087049
23,177.043,157.192,76.8787,1547511088042
24,202.738,137.615,73.7091,1547511089054
25,177.526,131.89,72.7822,1547511090049
26,182.241,131.195,72.6697,1547511091042
27,179.607,103.054,68.1135,1547511092047
28,178.336,117.691,70.4834,1547511093043
29,158.125,103.253,68.1457,1547511094045
30,183.214,85.1244,43.5475,1547511095055
31,178.035,82.623,32.5413,1547511096047
32,164.049,112.895,69.7067,1547511097047
33,173.171,135.193,73.317,1547511098044
34,173.171,135.193,73.317,1547511099047
35,173.171,135.193,73.317,1547511100049
36,195.118,147.632,75.3309,1547511101050
37,159.651,134.9,73.2696,1547511102047
38,180.939,130.247,72.5161,1547511103046
39,235.214,105.549,68.5174,1547511104041
40,218.78,128.909,72.2995,1547511105046
41,212.108,114.75,70.0072,1547511106048
42,234.437,126.465,71.9038,1547511107046
43,206.094,137.395,73.6734,1547511108046
44,176.97,132.231,72.8374,1547511109050
45,176.117,137.214,73.6441,1547511110051
46,176.488,132.042,72.8068,1547511111048
47,175.788,113.891,69.8681,1547511112049
48,190.697,97.5766,67.2267,1547511113047
49,174.643,151.614,75.9756,1547511114049
50,177.545,87.611,54.4884,1547511115042
51,177.545,87.611,54.4884,1547511116050
52,142.568,137.391,73.6729,1547511117047
53,141.805,158.416,77.0769,1547511118045
54,164.742,174.201,79.6326,1547511119046
55,208.138,120.594,70.9533,1547511120051
56,248.353,174.386,79.6625,1547511121050
57,248.353,174.386,79.6625,1547511122052
58,261.603,157.474,76.9243,1547511123048
59,265.535,132.931,72.9507,1547511124047
60,239.328,150.167,75.7414,1547511125052
61,213.298,155.296,76.5717,1547511126050
62,195.751,132.441,72.8714,1547511127054
63,203.42,124.381,71.5664,1547511128059
64,211.35,130.36,72.5345,1547511129051
65,210.167,135.24,73.3246,1547511130048
66,208.721,121.771,71.1439,1547511131051
67,189.217,108.941,69.0667,1547511132047
68,177.092,90.5041,66.0816,1547511133045
69,159.58,104.083,68.2801,1547511134052
70,155.752,97.685,67.2442,1547511135045
71,164.303,98.8194,67.4279,1547511136050
72,182.581,93.7232,66.6028,1547511137049
73,182.581,93.7232,66.6028,1547511138045
74,183.554,99.8587,67.5962,1547511139047
75,173.63,110.344,69.2938,1547511140048
76,151.703,100.214,67.6537,1547511141049
77,136.532,119.27,70.7389,1547511142046
78,130.459,161.92,77.6442,1547511143052
79,124.46,189.083,82.0419,1547511180049
80,128.625,220.415,87.1148,1547511181049
81,151.974,215.476,86.3152,1547511182071
82,183.885,246.547,91.3457,1547511183070
83,183.885,246.547,91.3457,1547511184079
84,180.952,232.509,89.0729,1547511185058
85,181.49,195.188,83.0305,1547511186048
86,178.308,147.774,75.3539,1547511187057
87,188.531,187.456,81.7786,1547511188051
88,166.913,130.146,72.4998,1547511189050
89,153.181,106.317,68.6418,1547511190039
90,159.84,137.734,73.7284,1547511191066
91,189.207,130.727,72.5939,1547511192077
92,169.924,91.0247,66.1659,1547511193074
93,151.856,107.223,68.7886,1547511194058
94,147.36,102.182,67.9723,1547511195046
95,168.879,81.3938,27.1328,1547511196050
96,174.015,76.5815,18.2907,1547511197046
97,215.481,95.2399,66.8484,1547511198046
98,191.111,99.0625,67.4673,1547511199048
99,238.686,113.043,69.7307,1547511200052
100,216.561,104.306,68.3163,1547511201047
