ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,511063042,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,511064073,1031
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511065052,2010
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511066094,3052
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511067117,4075
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511068103,5061
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511069106,6064
7,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511070104,7062
8,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511071080,8038
9,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511072079,9037
10,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511073076,10034
11,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511074077,11035
12,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511075079,12037
13,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511076076,13034
14,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511077078,14036
15,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511078077,15035
16,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511079086,16044
17,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511080084,17042
18,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511081075,18033
19,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511082079,19037
20,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511083086,20044
21,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511084082,21040
22,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511085075,22033
23,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511086077,23035
24,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511087075,24033
25,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511088075,25033
26,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511089084,26042
27,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511090075,27033
28,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511091072,28030
29,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511092073,29031
30,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511093069,30027
31,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511094078,31036
32,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511095086,32044
33,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511096077,33035
34,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511097075,34033
35,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511098076,35034
36,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511099080,36038
37,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511100080,37038
38,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511101077,38035
39,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511102078,39036
40,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511103073,40031
41,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511104068,41026
