ID,DATA,RISK,TIME_MS
0,77.5698,42.7953,1547511062962
1,77.5698,42.7953,1547511062992
2,126.475,68.1088,1547511064064
3,155.143,73.3776,1547511065043
4,117.768,66.5086,1547511066082
5,144.639,71.4472,1547511067104
6,145.461,71.5983,1547511068093
7,134.153,69.5199,1547511069094
8,109.406,51.3254,1547511070092
9,135.974,69.8546,1547511071069
10,106.292,43.7132,1547511072067
11,102.012,33.2522,1547511073066
12,108.086,48.0987,1547511074067
13,162.389,74.7093,1547511075067
14,162.389,74.7093,1547511076066
15,127.445,68.2871,1547511077067
16,127.445,68.2871,1547511078067
17,127.445,68.2871,1547511079071
18,121.198,67.1391,1547511080074
19,134.941,69.6649,1547511081065
20,135.205,69.7134,1547511082066
21,135.205,69.7134,1547511083074
22,80.2515,34.9289,1547511084072
23,118.757,66.6905,1547511085066
24,130.232,68.7993,1547511086066
25,130.232,68.7993,1547511087066
26,159.784,74.2305,1547511088061
27,185.759,79.0044,1547511089073
28,250.196,90.8467,1547511090065
29,250.196,90.8467,1547511091061
30,206.838,82.8783,1547511092064
31,208.515,83.1866,1547511093060
32,171.366,76.3592,1547511094065
33,142.059,70.973,1547511095074
34,89.4239,5.25362,1547511096067
35,126.229,68.0637,1547511097065
36,138.596,70.3365,1547511098064
37,136.469,69.9456,1547511099068
38,137.284,70.0955,1547511100069
39,132.574,69.2298,1547511101068
40,100.969,30.7029,1547511102065
41,86.8981,13.6729,1547511103062
42,105.222,41.099,1547511104057
43,106.879,45.1477,1547511105065
44,113.981,62.5081,1547511106066
45,167.312,75.6141,1547511107067
46,178.844,77.7335,1547511108064
47,166.062,75.3844,1547511109069
48,200.667,81.7441,1547511110069
49,200.667,81.7441,1547511111067
50,196.716,81.018,1547511112068
51,145.249,71.5593,1547511113067
52,109.756,52.1815,1547511114065
53,104.643,39.6837,1547511115059
54,109.483,51.5133,1547511116068
55,120.448,67.0012,1547511117065
56,117.752,66.5057,1547511118063
57,141.64,70.8959,1547511119066
58,166.377,75.4423,1547511120070
59,156.464,73.6204,1547511121069
60,149.263,72.297,1547511122072
61,149.263,72.297,1547511123068
62,149.263,72.297,1547511124067
63,178.726,77.7118,1547511125071
64,215.718,84.5104,1547511126072
65,235.374,88.1229,1547511127075
66,235.374,88.1229,1547511128075
67,207.219,82.9484,1547511129070
68,255.933,91.9013,1547511130068
69,262.975,93.1954,1547511131070
70,218.291,84.9832,1547511132065
71,191.075,79.9813,1547511133066
72,188.548,79.517,1547511134072
73,122.958,67.4626,1547511135065
74,85.2597,19.1343,1547511136067
