ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,511063042
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,511064073
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511065052
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511066094
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511067117
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511068103
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511069106
7,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511070104
8,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511071080
9,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511072079
10,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511073076
11,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511074077
12,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511075079
13,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511076076
14,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511077078
15,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511078077
16,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511079086
17,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511080084
18,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511081075
19,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511082079
20,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511083086
21,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511084082
22,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511085075
23,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511086077
24,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511087075
25,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511088075
26,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511089084
27,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511090075
28,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511091072
29,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511092073
30,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511093069
31,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511094078
32,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511095086
33,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511096077
34,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511097075
35,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511098076
36,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511099080
37,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511100080
38,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511101077
39,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511102078
40,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511103073
41,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511104068
42,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511105075
43,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511106077
44,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511107077
45,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511108076
46,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511109081
47,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511110080
48,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511111078
49,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511112079
50,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511113078
51,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511114074
52,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511115071
53,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511116077
54,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511117074
55,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511118074
56,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511119077
57,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511120080
58,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511121079
59,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511122083
60,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511123077
61,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511124078
62,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511125083
63,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511126082
64,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511127088
65,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511128084
66,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511129080
67,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511130080
68,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511131081
69,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511132077
70,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511133078
71,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511134082
72,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511135073
73,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511136077
74,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,511137079
75,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511138075
76,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511139074
77,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511140077
78,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511141080
79,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511142078
80,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511143081
81,0.895404,0.474225,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,511144078
82,0.799511,0.307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511145071
83,0.799511,0.307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511146095
84,0.799511,0.307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511147102
85,0.895341,0.461186,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511148099
86,0.895341,0.461186,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511149075
87,0.895341,0.461186,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511150075
88,0.895341,0.461186,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511151078
89,0.895341,0.461186,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,511152077
