ID,DATA,RISK,TIME_MS
0,65.9456,18.9193,1547511064103
1,65.9456,18.9193,1547511065080
2,33.4538,86.6805,1547511066125
3,40.7503,91.1911,1547511067145
4,72.0801,11.9084,1547511068134
5,58.994,38.5737,1547511069132
6,52.3701,98.3742,1547511070113
7,51.7034,97.9621,1547511071090
8,44.162,93.3001,1547511072087
9,38.7847,89.976,1547511073086
10,36.2248,88.3935,1547511074088
11,32.0728,85.8268,1547511075087
12,31.8441,85.6854,1547511076087
13,50.1477,97.0004,1547511077087
14,50.1477,97.0004,1547511078086
15,42.8191,92.47,1547511079094
16,42.8191,92.47,1547511080092
17,42.8191,92.47,1547511081084
18,35.2764,87.8072,1547511082090
19,55.0865,21.3805,1547511083094
20,60.9431,47.1495,1547511084091
21,60.9431,47.1495,1547511085083
22,48.6826,96.0947,1547511086085
23,52.2628,98.3079,1547511087084
24,48.7002,96.1056,1547511088085
25,48.7002,96.1056,1547511089095
26,33.1978,86.5223,1547511090084
27,34.9845,87.6268,1547511091081
28,32.9868,86.3918,1547511092083
29,32.9868,86.3918,1547511093077
30,48.5569,96.017,1547511094089
31,62.5851,54.3744,1547511095095
32,65.4629,19.471,1547511096086
33,65.9977,18.8598,1547511097084
34,72.8416,11.0382,1547511098086
35,52.7101,98.5844,1547511099088
36,46.5886,94.8002,1547511100088
37,40.3606,90.9502,1547511101088
38,37.255,89.0304,1547511102087
39,26.0039,82.0752,1547511103081
40,34.1225,87.0939,1547511104078
41,40.2179,90.862,1547511105084
42,47.6784,95.4739,1547511106087
43,37.3138,89.0667,1547511107085
44,43.7029,93.0163,1547511108085
45,49.1854,96.4055,1547511109091
46,47.0393,95.0788,1547511110091
47,52.6455,98.5445,1547511111088
48,60.4349,44.9138,1547511112087
49,60.4349,44.9138,1547511113089
50,68.0617,16.5009,1547511114083
51,68.9769,15.455,1547511115081
52,64.449,62.5757,1547511116087
53,58.3497,35.7388,1547511117082
54,56.9842,29.7304,1547511118084
55,52.6967,98.5761,1547511119086
56,44.5668,93.5504,1547511120089
57,34.766,87.4917,1547511121090
58,45.5765,94.1745,1547511122092
