ID,DATA,RISK,TIME_MS
0,31.8215,66.1791,1547511062976
1,31.8215,66.1791,1547511063071
2,50.2286,-1,1547511064112
3,31.2981,66.7354,1547511065089
4,45.6764,83.6666,1547511066134
5,41.4542,67.7157,1547511067156
6,43.6592,76.0459,1547511068143
7,41.2886,67.0903,1547511069142
8,44.7631,80.216,1547511070123
9,43.2281,74.4172,1547511071100
10,42.025,69.8722,1547511072097
11,40.1643,52.8499,1547511073095
12,42.0701,70.0428,1547511074096
13,43.0852,73.8776,1547511075095
14,43.0852,73.8776,1547511076096
15,43.9711,77.2243,1547511077096
16,43.9711,77.2243,1547511078096
17,43.9711,77.2243,1547511079103
18,45.7755,84.0408,1547511080101
19,50.0176,-1,1547511081093
20,49.34,97.5068,1547511082099
21,49.34,97.5068,1547511083103
22,45.4884,82.9562,1547511084099
23,47.5376,90.6975,1547511085092
24,46.0097,84.9256,1547511086095
25,46.0097,84.9256,1547511087092
26,42.9375,73.3195,1547511088094
27,40.5248,58.154,1547511089104
28,43.7786,76.4969,1547511090093
29,43.7786,76.4969,1547511091090
30,42.4646,71.5328,1547511092092
31,42.2473,70.712,1547511093085
32,45.2235,81.9554,1547511094098
33,49.9405,99.7753,1547511095104
34,47.1484,89.2274,1547511096096
35,44.869,80.6161,1547511097094
36,43.1929,74.2842,1547511098095
37,39.6115,44.7145,1547511099098
38,36.452,10.9154,1547511100098
39,35.6984,24.2152,1547511101097
40,35.2097,29.6047,1547511102096
41,34.4271,38.2346,1547511103089
42,32.5458,58.9808,1547511104086
43,31.3412,66.6896,1547511105094
44,31.1205,66.9242,1547511106097
45,32.9588,54.4263,1547511107094
46,38.067,21.9862,1547511108094
47,43.7331,76.3252,1547511109099
48,47.2597,89.6476,1547511110099
49,47.2597,89.6476,1547511111098
50,47.8471,91.8669,1547511112096
51,47.6214,91.0143,1547511113098
52,47.5145,90.6103,1547511114091
53,43.6823,76.1331,1547511115090
54,43.4822,75.3773,1547511116095
55,45.9996,84.8875,1547511117091
56,45.352,82.4407,1547511118093
57,43.3112,74.7311,1547511119097
58,46.8598,88.137,1547511120098
59,43.035,73.6879,1547511121099
60,42.7832,72.7366,1547511122101
61,42.7832,72.7366,1547511123096
62,42.7832,72.7366,1547511124098
63,44.6365,79.7379,1547511125101
64,44.3796,78.7673,1547511126102
65,42.9545,73.3836,1547511127108
66,42.9545,73.3836,1547511128103
67,45.8034,84.1462,1547511129098
68,46.7592,87.7568,1547511130099
69,49.1331,96.7252,1547511131099
70,49.3533,97.5568,1547511132096
71,48.6778,95.0048,1547511133100
72,50.3213,-1,1547511134100
73,47.9748,92.3494,1547511135093
74,44.8957,80.7171,1547511136097
75,40.5133,57.9843,1547511137097
76,39.0334,36.2075,1547511138093
77,34.9227,32.7694,1547511139094
78,29.8071,68.32,1547511140098
