ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1547645915836,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547645917826,1990
2,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645919226,3390
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645921036,5200
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645921975,6139
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645922976,7140
6,0.934318,0.542372,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645923991,8155
7,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925070,9234
8,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925169,9333
9,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645926159,10323
10,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645927158,11322
11,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645928177,12341
12,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645929174,13338
13,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645930161,14325
14,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645931169,15333
15,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645932166,16330
16,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645934168,18332
17,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645934275,18439
18,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645935271,19435
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645936275,20439
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645937281,21445
21,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645938281,22445
22,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645939277,23441
23,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645940280,24444
24,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645941284,25448
25,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645942269,26433
26,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645943273,27437
27,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645944282,28446
