ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,645916847,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,645918844,1997
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645919138,2291
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645920245,3398
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645921893,5046
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645922830,5983
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645923841,6994
7,0.934318,0.542372,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645924932,8085
8,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645925089,8242
9,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645925189,8342
10,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645926177,9330
11,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645927184,10337
12,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645928199,11352
13,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645929192,12345
14,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645930183,13336
15,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645931189,14342
16,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645932194,15347
17,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645934190,17343
18,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645934297,17450
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645935291,18444
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645936294,19447
21,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645937301,20454
22,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645938300,21453
23,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645939299,22452
24,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645940301,23454
25,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645941303,24456
26,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645942294,25447
27,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645943293,26446
28,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645944301,27454
29,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645945298,28451
30,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645946296,29449
31,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645947295,30448
32,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645948299,31452
33,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645949297,32450
34,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645950299,33452
35,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645951300,34453
36,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645952307,35460
37,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645953305,36458
38,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645954300,37453
39,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645955305,38458
40,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645956301,39454
41,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645957300,40453
42,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645958302,41455
43,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645959296,42449
44,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645960304,43457
45,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645961303,44456
46,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645962296,45449
47,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645963297,46450
48,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645964299,47452
49,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645965303,48456
50,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645966301,49454
51,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645967305,50458
52,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645968299,51452
53,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645969301,52454
54,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645970302,53455
55,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645971302,54455
56,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645972301,55454
57,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645973298,56451
58,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645974293,57446
59,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645975298,58451
60,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645976306,59459
61,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645977309,60462
62,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645978302,61455
63,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645979294,62447
64,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645980303,63456
65,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645981305,64458
66,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645982305,65458
67,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645983294,66447
68,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645984279,67432
69,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645985279,68432
70,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645986296,69449
71,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645987302,70455
72,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645988294,71447
73,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645989297,72450
74,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645990293,73446
75,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645991293,74446
76,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645992297,75450
77,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645993299,76452
78,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645994293,77446
79,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645995288,78441
80,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645996302,79455
81,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645997299,80452
82,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645998299,81452
83,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645999304,82457
84,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646000307,83460
85,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646001307,84460
86,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646002307,85460
87,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646003308,86461
88,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646005125,88278
89,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646007017,90170
90,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646008086,91239
91,0.873418,0.427815,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646009073,92226
92,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646009185,92338
93,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646009298,92451
94,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646010299,93452
95,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646011300,94453
96,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646012303,95456
97,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646013311,96464
98,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646014312,97465
99,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646015306,98459
100,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646016305,99458
101,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646017307,100460
102,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646018311,101464
103,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646019307,102460
104,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646020302,103455
105,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646021310,104463
106,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646022309,105462
107,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646023312,106465
108,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646024309,107462
109,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,646025300,108453
