ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,26.0429,14.7713,12.6143,1547643250741
1,26.0429,14.7713,12.6143,1547643251776
2,12.4111,100.481,67.6969,1547643252789
3,333.56,130.718,72.5924,1547643253792
4,300.397,139.727,74.051,1547643254797
5,165.271,109.221,69.112,1547643255795
6,165.271,109.221,69.112,1547643256798
7,192.65,128.263,72.1949,1547643257797
8,244.623,115.356,70.1052,1547643258793
9,225.851,126.825,71.9621,1547643259791
10,225.851,126.825,71.9621,1547643260797
11,169.768,124.425,71.5735,1547643261797
12,188.154,144.497,74.8233,1547643262791
13,190.642,149.787,75.6798,1547643263794
14,165.265,193.775,82.8017,1547643264783
15,154.347,169.763,78.914,1547643265784
16,211.732,194.799,82.9675,1547643266796
17,170.755,173.251,79.4787,1547643267785
18,171.832,167.12,78.4861,1547643268795
19,164.943,120.18,70.8862,1547643269795
20,149.3,151.532,75.9624,1547643270794
21,119.138,138.247,73.8115,1547643271787
22,135.6,156.389,76.7487,1547643272788
23,144.706,165.713,78.2583,1547643273794
24,176.996,222.472,87.4478,1547643274787
25,170.944,208.47,85.1809,1547643275789
26,185.055,231.113,88.8469,1547643276798
27,188.549,195.835,83.1353,1547643277796
28,190.276,209.036,85.2725,1547643278792
29,147.88,189.485,82.1071,1547643279799
30,181.075,169.326,78.8432,1547643280797
31,170.123,143.074,74.5929,1547643281794
32,196.037,175.134,79.7837,1547643282796
33,211.423,143.357,74.6388,1547643283785
34,211.423,143.357,74.6388,1547643284781
35,211.423,143.357,74.6388,1547643285796
36,269.222,117.813,70.503,1547643286789
37,268.525,132.158,72.8256,1547643287791
38,289.392,154.609,76.4605,1547643288791
39,291.224,127.827,72.1243,1547643289793
40,264.266,133.549,73.0508,1547643290793
41,226.54,120.928,71.0074,1547643291793
42,224.718,97.8702,67.2742,1547643292796
43,191.089,92.56,66.4145,1547643293787
44,167.083,126.968,71.9852,1547643294782
45,173.382,177.698,80.1987,1547643295793
46,191.481,244.726,91.0509,1547643296802
47,156.838,305.312,-1,1547643297788
48,177.218,288.485,98.1357,1547643298795
49,169.242,242.467,90.6851,1547643299790
50,153.777,225.392,87.9206,1547643300790
51,153.777,225.392,87.9206,1547643301796
52,124.242,186.368,81.6024,1547643302793
53,154.721,136.29,73.4946,1547643303794
54,120.241,120.65,70.9623,1547643304800
55,148.249,159.188,77.2018,1547643305796
56,150.598,170.923,79.1018,1547643306793
57,150.598,170.923,79.1018,1547643307802
58,135.575,157.697,76.9605,1547643308796
59,144.734,168.773,78.7537,1547643309789
60,158.675,172.23,79.3134,1547643310794
61,145.035,155.707,76.6383,1547643311794
62,165.541,95.1988,66.8417,1547643312794
63,202.218,97.5635,67.2246,1547643313796
64,193.858,111.876,69.5419,1547643314795
65,203.537,151.933,76.0273,1547643315792
66,231.776,159.073,77.1832,1547643316795
67,231.547,176.865,80.0639,1547643317793
68,238.268,204.479,84.5348,1547643318793
69,218.299,186.187,81.5732,1547643319791
70,213.668,136.783,73.5745,1547643320798
71,176.085,120.752,70.9788,1547643321792
72,178.58,115.194,70.079,1547643322799
73,178.58,115.194,70.079,1547643323794
74,132.404,83.0372,34.3639,1547643324790
75,153.9,80.5605,23.4661,1547643325792
76,151.216,87.3699,53.4278,1547643326793
77,153.757,126.102,71.845,1547643327798
