ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1547581056569
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547581056658
2,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547581057657
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547581058668
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581059718
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581060744
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581061748
7,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581062744
8,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581063740
9,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581064743
10,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581065743
11,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581066746
12,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581067752
13,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581068750
14,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581069726
15,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581070723
16,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581071734
17,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581072739
18,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581073744
19,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581074751
20,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581075749
21,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547581076732
