ID,DATA,RISK,TIME_MS
0,61.951,51.5845,1547581057666
1,61.951,51.5845,1547581058679
2,76.9664,6.32413,1547581059728
3,43.4976,92.8894,1547581060756
4,15.8961,75.8267,1547581061760
5,40.5339,91.0573,1547581062754
6,30.3383,84.7546,1547581063750
7,23.4955,80.5245,1547581064753
8,29.541,84.2617,1547581065754
9,30.0837,84.5972,1547581066758
10,30.5226,84.8685,1547581067761
11,38.8478,90.015,1547581068760
12,38.3133,89.6846,1547581069739
13,40.574,91.0821,1547581070735
14,37.8887,89.4221,1547581071744
15,49.3035,96.4785,1547581072748
16,48.391,95.9144,1547581073755
17,48.7517,96.1374,1547581074760
18,34.3664,87.2447,1547581075760
19,41.4918,91.6495,1547581076743
20,42.2212,92.1004,1547581077730
21,44.5197,93.5213,1547581078743
22,39.9651,90.7057,1547581079746
23,39.9651,90.7057,1547581080733
24,45.0745,93.8642,1547581081735
25,44.168,93.3039,1547581082750
26,44.168,93.3039,1547581083749
27,45.2723,93.9865,1547581084745
28,34.3264,87.2199,1547581085743
29,31.2105,85.2938,1547581086748
30,34.4061,87.2692,1547581087742
31,40.3352,90.9345,1547581088741
32,33.9405,86.9814,1547581089749
33,35.7908,88.1252,1547581090746
34,39.2551,90.2668,1547581091751
35,31.6054,85.5379,1547581092755
36,30.8081,85.045,1547581093751
37,31.3173,85.3598,1547581094748
38,31.4016,85.4119,1547581095754
39,42.9865,92.5735,1547581096760
40,50.9085,97.4707,1547581097752
41,50.0612,96.9469,1547581098746
42,58.6382,37.0081,1547581099754
43,57.4118,31.6118,1547581100757
44,45.2689,93.9844,1547581101748
45,35.8091,88.1365,1547581102747
46,35.8091,88.1365,1547581103748
47,25.8406,81.9742,1547581104755
48,10.2027,72.3071,1547581105745
49,13.5378,74.3688,1547581106739
50,19.4402,78.0176,1547581107747
51,18.6702,77.5416,1547581108745
52,36.4572,88.5372,1547581109742
53,38.5369,89.8228,1547581110745
54,37.4329,89.1403,1547581111747
55,40.2167,90.8612,1547581112755
56,47.4139,95.3104,1547581113757
57,41.674,91.7621,1547581114742
58,41.674,91.7621,1547581115744
59,41.674,91.7621,1547581116752
60,48.8572,96.2026,1547581117747
61,47.6908,95.4816,1547581118745
62,38.9268,90.0638,1547581119751
63,38.9268,90.0638,1547581120745
64,41.4435,91.6196,1547581121752
65,32.9763,86.3853,1547581122755
66,22.9303,80.1751,1547581123750
67,23.3784,80.4521,1547581124749
68,34.3952,87.2625,1547581125753
69,34.8178,87.5238,1547581126753
70,39.2652,90.2731,1547581127752
71,51.2796,97.7001,1547581128733
72,50.2958,97.0919,1547581129729
73,39.955,90.6995,1547581130740
74,35.9588,88.2291,1547581131748
75,41.9318,91.9215,1547581132750
76,41.9318,91.9215,1547581133744
77,41.3794,91.58,1547581134751
78,41.3794,91.58,1547581135740
79,41.3794,91.58,1547581136728
80,46.4939,94.7417,1547581137735
81,46.4939,94.7417,1547581138746
82,46.4939,94.7417,1547581139744
83,49.4238,96.5529,1547581140747
84,49.4238,96.5529,1547581141755
85,61.8618,51.192,1547581142754
86,54.1509,99.4751,1547581143745
87,55.7016,24.087,1547581144736
88,52.9937,98.7598,1547581145743
89,54.6452,99.7807,1547581146744
90,37.0932,88.9303,1547581147742
91,33.5163,86.7192,1547581148746
92,31.6789,85.5833,1547581149746
93,35.9374,88.2158,1547581150748
94,36.4259,88.5178,1547581151763
95,50.8656,97.4442,1547581152756
96,49.637,96.6847,1547581153746
97,52.0325,98.1655,1547581154745
98,46.4365,94.7062,1547581155738
99,47.7392,95.5115,1547581156740
100,47.7392,95.5115,1547581157735
101,42.5027,92.2744,1547581158733
102,44.7447,93.6604,1547581159747
103,44.7447,93.6604,1547581160748
104,31.067,85.205,1547581161746
105,41.3664,91.572,1547581162739
106,45.944,94.4018,1547581163735
107,45.891,94.369,1547581164739
108,41.6141,91.7251,1547581165750
109,51.5546,97.8701,1547581166741
110,52.1087,98.2127,1547581167735
111,45.1812,93.9302,1547581168753
112,47.3601,95.2772,1547581169744
113,46.5448,94.7731,1547581206747
114,49.9255,96.8631,1547581207781
115,44.3884,93.4401,1547581208789
116,50.3408,97.1198,1547581209761
117,50.3408,97.1198,1547581210744
118,50.6052,97.2832,1547581211742
119,63.1007,56.6433,1547581212755
120,59.5568,41.0499,1547581213757
121,60.2446,44.0763,1547581214755
122,59.233,39.6251,1547581215751
123,49.5842,96.652,1547581216755
124,55.3157,22.389,1547581217744
125,55.3157,22.389,1547581218742
126,55.3157,22.389,1547581219745
127,55.3157,22.389,1547581220742
128,63.3762,57.8552,1547581221732
129,59.2816,39.839,1547581222742
130,56.5905,27.9982,1547581223754
131,55.1484,21.6528,1547581224742
132,49.0293,96.309,1547581225746
133,37.5626,89.2205,1547581226750
134,54.345,99.5951,1547581227738
135,58.3338,35.6686,1547581228736
136,64.7396,63.8542,1547581229730
137,58.5989,36.8352,1547581230738
138,52.4851,98.4453,1547581231746
139,52.0519,98.1775,1547581232745
140,52.6498,98.5471,1547581233750
141,53.0433,98.7904,1547581234745
142,56.2479,26.4909,1547581235737
143,62.0893,52.1928,1547581236761
144,53.4643,99.0507,1547581237749
145,53.9803,99.3696,1547581238737
146,53.9803,99.3696,1547581239741
147,57.6469,32.6466,1547581240798
148,57.4098,31.603,1547581241840
149,51.3508,97.7441,1547581242780
150,49.0102,96.2972,1547581243753
151,53.3799,98.9985,1547581244752
152,61.1901,48.2365,1547581245744
