ID,DATA,RISK,TIME_MS
0,32.5413,59.0308,1547581056578
1,32.5413,59.0308,1547581056668
2,50.0122,-1,1547581057674
3,32.6603,57.718,1547581058689
4,43.6705,76.0887,1547581059738
5,40.7532,61.5149,1547581060766
6,42.343,71.0734,1547581061772
7,32.4336,60.2184,1547581062767
8,37.3527,7.19018,1547581063762
9,35.4136,27.3558,1547581064768
10,35.4201,27.2851,1547581065772
11,33.329,50.3442,1547581066769
12,42.574,71.9461,1547581067773
13,40.5393,58.3673,1547581068770
14,39.0597,36.5939,1547581069749
15,38.4654,27.8487,1547581070745
16,39.2386,39.227,1547581071754
17,37.1947,4.01483,1547581072757
18,34.8646,33.4099,1547581073766
19,35.6071,25.2228,1547581074772
20,36.1974,16.0319,1547581075769
21,32.0732,64.1923,1547581076752
22,24.8057,73.6357,1547581077741
23,24.8057,73.6357,1547581078753
24,20.8801,77.808,1547581079756
25,23.7355,74.7732,1547581080743
26,23.7355,74.7732,1547581081745
27,25.4259,72.9766,1547581082761
28,30.767,67.2999,1547581083760
29,39.9443,49.6111,1547581084754
30,46.8076,87.9399,1547581085755
31,38.7688,32.3129,1547581086759
32,35.8446,22.603,1547581087751
33,28.2098,70.0177,1547581088751
34,26.6933,71.6295,1547581089760
35,22.07,76.5433,1547581090757
36,27.2085,71.0819,1547581091762
37,26.7035,71.6187,1547581092765
38,33.3078,50.5779,1547581093760
39,33.609,47.2569,1547581094759
40,34.74,34.7846,1547581095765
41,36.1051,17.8874,1547581096769
42,39.5904,44.4033,1547581097762
43,42.4295,71.4004,1547581098756
44,45.4371,82.7624,1547581099765
45,49.5823,98.4221,1547581100767
46,49.5823,98.4221,1547581101758
47,48.7607,95.318,1547581102756
48,43.7171,76.2647,1547581103760
49,44.1914,78.0563,1547581104766
50,40.571,58.8343,1547581105756
51,40.0297,50.869,1547581106750
52,44.6809,79.9058,1547581107758
53,40.7286,61.1538,1547581108755
54,40.5946,59.1812,1547581109751
55,43.2278,74.4161,1547581110754
56,41.212,66.8007,1547581111758
57,40.4362,56.8498,1547581112767
58,40.4362,56.8498,1547581113766
59,40.4362,56.8498,1547581114751
60,49.1616,96.8327,1547581115755
61,48.8559,95.6777,1547581116764
62,50.1546,-1,1547581117757
63,50.1546,-1,1547581118756
64,51.6796,-1,1547581119761
65,49.4719,98.005,1547581120755
66,49.2151,97.0349,1547581121761
67,49.3845,97.6749,1547581122766
68,48.19,93.1623,1547581123760
69,49.0565,96.4358,1547581124760
70,46.6566,87.3695,1547581125763
71,45.3089,82.2781,1547581126763
72,45.977,84.8019,1547581127761
73,36.2612,14.7499,1547581128744
74,32.8006,56.1716,1547581129738
75,36.4878,10.1949,1547581130750
76,36.4878,10.1949,1547581131758
77,34.4852,37.5941,1547581132760
78,34.4852,37.5941,1547581133755
79,34.4852,37.5941,1547581134760
80,29.1512,69.0171,1547581135749
81,29.1512,69.0171,1547581136737
82,29.1512,69.0171,1547581137744
83,39.4322,42.0765,1547581138755
84,39.4322,42.0765,1547581139754
85,41.4204,67.5881,1547581140758
86,40.0633,51.3627,1547581141766
87,43.7431,76.363,1547581142765
88,46.7667,87.7854,1547581143756
89,43.5761,75.7319,1547581144745
90,44.4028,78.855,1547581145753
91,43.469,75.3274,1547581146754
92,39.7555,46.8333,1547581147752
93,40.6599,60.1429,1547581148757
94,40.7413,61.3396,1547581149755
95,32.2142,62.6376,1547581150761
96,28.5205,69.6875,1547581151774
97,31.9846,66.0058,1547581152766
98,30.86,67.201,1547581153756
99,29.0962,69.0757,1547581154755
100,29.0962,69.0757,1547581155748
101,32.5357,59.0926,1547581156750
102,39.4944,42.9907,1547581157745
103,39.4944,42.9907,1547581158742
104,34.693,35.3028,1547581159757
105,29.0863,69.0862,1547581160759
106,33.4226,49.3121,1547581161757
107,32.2827,61.8825,1547581162749
108,21.9564,76.664,1547581163745
109,27.3722,70.9079,1547581164750
110,32.0203,64.7756,1547581165762
111,28.2412,69.9843,1547581166751
112,35.8186,22.8899,1547581167745
113,45.1499,81.6775,1547581168763
114,43.8242,76.6692,1547581169754
115,45.6859,83.7024,1547581170759
116,47.8789,91.9871,1547581171762
117,47.8789,91.9871,1547581172750
118,43.7993,76.575,1547581173752
119,42.2402,70.6851,1547581174755
120,41.7257,68.7414,1547581175757
121,40.0132,50.6253,1547581176768
122,41.0283,66.1071,1547581177766
123,42.6006,72.0466,1547581178763
124,45.145,81.6591,1547581179771
125,45.145,81.6591,1547581180756
126,45.145,81.6591,1547581181747
127,45.145,81.6591,1547581182757
128,44.6056,79.621,1547581183753
129,45.5616,83.2328,1547581184750
130,42.6444,72.2124,1547581185753
131,43.4561,75.2786,1547581186754
132,36.4694,10.565,1547581187759
133,34.6012,36.3155,1547581188756
134,27.9464,70.2976,1547581189744
135,25.9599,72.409,1547581190760
136,23.2103,75.3314,1547581191764
137,30.5563,67.5238,1547581192782
138,30.9799,67.0736,1547581193787
139,39.3406,40.7274,1547581194767
140,43.1375,74.075,1547581195773
141,42.4649,71.5342,1547581196793
142,40.0088,50.5611,1547581197810
143,40.8072,62.3098,1547581198772
144,39.836,48.0178,1547581199760
145,41.3199,67.2085,1547581200768
146,41.3199,67.2085,1547581201773
147,43.3228,74.7751,1547581202771
148,42.4918,71.6356,1547581203751
149,41.6888,68.602,1547581204749
150,40.1427,52.5321,1547581205756
151,40.4227,56.6524,1547581206760
152,40.2725,54.4412,1547581207794
153,40.2725,54.4412,1547581208802
154,40.5123,57.9708,1547581209773
155,38.7595,32.1772,1547581210754
156,41.9515,69.5947,1547581211756
157,42.8577,73.0178,1547581212767
158,42.4125,71.336,1547581213768
159,42.098,70.148,1547581214765
160,45.0398,81.2614,1547581215764
161,43.7188,76.2709,1547581216765
